td_number_and_name;basic_udi_di;dmids_no;article_number;product_group;product_name;udi_single_unit;udi_ve;mdr_code;risk_class;classification_rule;gmdn;umdns_code;emdn;certification_no;packaging_unit_ve;material;surface_info;iso_code;first_placing_on_market_date;legacy_device
MDR-TD1 - rot. Dentalinstrumente;4057176RotariesX7;DE/CA61/00025331;536743;FG Diam. Royal line;FG diamond extracoarse;04057176202079;04057176202086;MDN 1208;Klasse lla;Regel 5.4;16670;16-670;Q010199;0297/170765128;5;steel 1.4035, diamond, nickel;ISO adapter, smooth, extracoarse;806 314 110 544 027;2009-09-03;X
MDR-TD1 - rot. Dentalinstrumente;4057176RotariesX7;DE/CA61/00025331;536748;FG Diam. Royal line;FG diamond medium;04057176191618;04057176191625;MDN 1208;Klasse lla;Regel 5.4;16670;16-670;Q010199;0297/170765128;5;steel 1.4035, diamond, nickel;ISO adapter, smooth, medium;806 314 110 524 027;2008-08-20;X
MDR-TD1 - rot. Dentalinstrumente;4057176RotariesX7;DE/CA61/00025331;536754;FG Diam. Royal line;FG diamond superfine;04057176201591;04057176201607;MDN 1208;Klasse lla;Regel 5.4;16670;16-670;Q010199;0297/170765128;5;steel 1.4035, diamond, nickel;ISO adapter, smooth, superfine;806 314 257 504 014;2008-12-22;X
MDR-TD1 - rot. Dentalinstrumente;4057176RotariesX7;DE/CA61/00025331;536755;FG Diam. Royal line;FG diamond coarse;04057176201638;04057176201645;MDN 1208;Klasse lla;Regel 5.4;16670;16-670;Q010199;0297/170765128;5;steel 1.4035, diamond, nickel;ISO adapter, smooth, coarse;806 314 257 534 014;2008-12-22;X
MDR-TD1 - rot. Dentalinstrumente;4057176RotariesX7;DE/CA61/00025331;536756;FG Diam. Royal line;FG diamond fine;04057176201614;04057176201621;MDN 1208;Klasse lla;Regel 5.4;16670;16-670;Q010199;0297/170765128;5;steel 1.4035, diamond, nickel;ISO adapter, smooth, fine;806 314 257 514 014;2008-12-22;X
MDR-TD1 - rot. Dentalinstrumente;4057176RotariesX7;DE/CA61/00025331;536758;FG Diam. Royal line;FG diamond medium;04057176191410;04057176191427;MDN 1208;Klasse lla;Regel 5.4;16670;16-670;Q010199;0297/170765128;5;steel 1.4035, diamond, nickel;ISO adapter, smooth, medium;806 314 257 524 014;2008-08-19;X
MDR-TD1 - rot. Dentalinstrumente;4057176RotariesX7;DE/CA61/00025331;536768;FG Diam. Royal line;FG diamond medium;04057176191434;04057176191441;MDN 1208;Klasse lla;Regel 5.4;16670;16-670;Q010199;0297/170765128;5;steel 1.4035, diamond, nickel;ISO adapter, smooth, medium;806 314 041 524 018;2008-08-19;X
MDR-TD1 - rot. Dentalinstrumente;4057176RotariesX7;DE/CA61/00025331;536778;FG Diam. Royal line;FG diamond medium;04057176191571;04057176191588;MDN 1208;Klasse lla;Regel 5.4;16670;16-670;Q010199;0297/170765128;5;steel 1.4035, diamond, nickel;ISO adapter, smooth, medium;806 314 010 524 040;2008-08-20;X
MDR-TD1 - rot. Dentalinstrumente;4057176RotariesX7;DE/CA61/00025331;536788;FG Diam. Royal line;FG diamond medium;04057176191458;04057176191465;MDN 1208;Klasse lla;Regel 5.4;16670;16-670;Q010199;0297/170765128;5;steel 1.4035, diamond, nickel;ISO adapter, smooth, medium;806 314 019 524 009;2008-08-19;X
MDR-TD1 - rot. Dentalinstrumente;4057176RotariesX7;DE/CA61/00025331;536794;FG Diam. Royal line;FG diamond superfine;04057176234605;04057176234612;MDN 1208;Klasse lla;Regel 5.4;16670;16-670;Q010199;0297/170765128;5;steel 1.4035, diamond, nickel;ISO adapter, smooth, superfine;806 314 465 504 016;2022-05-18;
MDR-TD1 - rot. Dentalinstrumente;4057176RotariesX7;DE/CA61/00025331;536796;FG Diam. Royal line;FG diamond fine;04057176198112;04057176198129;MDN 1208;Klasse lla;Regel 5.4;16670;16-670;Q010199;0297/170765128;5;steel 1.4035, diamond, nickel;ISO adapter, smooth, fine;806 314 465 514 016;2008-10-06;X
MDR-TD1 - rot. Dentalinstrumente;4057176RotariesX7;DE/CA61/00025331;536798;FG Diam. Royal line;FG diamond medium;04057176191472;04057176191489;MDN 1208;Klasse lla;Regel 5.4;16670;16-670;Q010199;0297/170765128;5;steel 1.4035, diamond, nickel;ISO adapter, smooth, medium;806 314 465 524 016;2008-08-19;X
MDR-TD1 - rot. Dentalinstrumente;4057176RotariesX7;DE/CA61/00025331;536805;FG Diam. Royal line;FG diamond coarse;04057176196514;04057176196521;MDN 1208;Klasse lla;Regel 5.4;16670;16-670;Q010199;0297/170765128;5;steel 1.4035, diamond, nickel;ISO adapter, smooth, coarse;806 314 507 534 023;2008-09-22;X
MDR-TD1 - rot. Dentalinstrumente;4057176RotariesX7;DE/CA61/00025331;536806;FG Diam. Royal line;FG diamond fine;04057176196538;04057176196545;MDN 1208;Klasse lla;Regel 5.4;16670;16-670;Q010199;0297/170765128;5;steel 1.4035, diamond, nickel;ISO adapter, smooth, fine;806 314 507 514 023;2008-09-22;X
MDR-TD1 - rot. Dentalinstrumente;4057176RotariesX7;DE/CA61/00025331;536808;FG Diam. Royal line;FG diamond medium;04057176196491;04057176196507;MDN 1208;Klasse lla;Regel 5.4;16670;16-670;Q010199;0297/170765128;5;steel 1.4035, diamond, nickel;ISO adapter, smooth, medium;806 314 507 524 023;2008-09-22;X
MDR-TD1 - rot. Dentalinstrumente;4057176RotariesX7;DE/CA61/00025331;536815;FG Diam. Royal line;FG diamond coarse;04057176196552;04057176196569;MDN 1208;Klasse lla;Regel 5.4;16670;16-670;Q010199;0297/170765128;5;steel 1.4035, diamond, nickel;ISO adapter, smooth, coarse;806 314 040 534 012;2008-09-22;X
MDR-TD1 - rot. Dentalinstrumente;4057176RotariesX7;DE/CA61/00025331;536818;FG Diam. Royal line;FG diamond medium;04057176199256;04057176199263;MDN 1208;Klasse lla;Regel 5.4;16670;16-670;Q010199;0297/170765128;5;steel 1.4035, diamond, nickel;ISO adapter, smooth, medium;806 314 040 524 012;2008-10-10;X
MDR-TD1 - rot. Dentalinstrumente;4057176RotariesX7;DE/CA61/00025331;536825;FG Diam. Royal line;FG diamond coarse;04057176196576;04057176196583;MDN 1208;Klasse lla;Regel 5.4;16670;16-670;Q010199;0297/170765128;5;steel 1.4035, diamond, nickel;ISO adapter, smooth, coarse;806 314 171 534 018;2008-09-22;X
MDR-TD1 - rot. Dentalinstrumente;4057176RotariesX7;DE/CA61/00025331;536832;FG Diam. Royal line;FG diamond ultrafine;04057176207999;04057176208002;MDN 1208;Klasse lla;Regel 5.4;16670;16-670;Q010199;0297/170765128;5;steel 1.4035, diamond, nickel;ISO adapter, smooth, ultrafine;806 314 164 494 014;2015-01-28;X
MDR-TD1 - rot. Dentalinstrumente;4057176RotariesX7;DE/CA61/00025331;536834;FG Diam. Royal line;FG diamond superfine;04057176196637;04057176196644;MDN 1208;Klasse lla;Regel 5.4;16670;16-670;Q010199;0297/170765128;5;steel 1.4035, diamond, nickel;ISO adapter, smooth, superfine;806 314 164 504 014;2008-09-22;X
MDR-TD1 - rot. Dentalinstrumente;4057176RotariesX7;DE/CA61/00025331;536845;FG Diam. Royal line;FG diamond coarse;04057176202673;04057176202680;MDN 1208;Klasse lla;Regel 5.4;16670;16-670;Q010199;0297/170765128;5;steel 1.4035, diamond, nickel;ISO adapter, smooth, coarse;806 314 041 534 050;2010-09-16;X
MDR-TD1 - rot. Dentalinstrumente;4057176RotariesX7;DE/CA61/00025331;536848;FG Diam. Royal line;FG diamond medium;04057176196750;04057176196767;MDN 1208;Klasse lla;Regel 5.4;16670;16-670;Q010199;0297/170765128;5;steel 1.4035, diamond, nickel;ISO adapter, smooth, medium;806 314 041 524 050;2008-09-23;X
MDR-TD1 - rot. Dentalinstrumente;4057176RotariesX7;DE/CA61/00025331;536855;FG Diam. Royal line;FG diamond coarse;04057176208880;04057176208897;MDN 1208;Klasse lla;Regel 5.4;16670;16-670;Q010199;0297/170765128;5;steel 1.4035, diamond, nickel;ISO adapter, smooth, coarse;806 314 041 534 057;2016-03-23;X
MDR-TD1 - rot. Dentalinstrumente;4057176RotariesX7;DE/CA61/00025331;536858;FG Diam. Royal line;FG diamond medium;04057176196774;04057176196781;MDN 1208;Klasse lla;Regel 5.4;16670;16-670;Q010199;0297/170765128;5;steel 1.4035, diamond, nickel;ISO adapter, smooth, medium;806 314 041 524 057;2008-09-23;X
MDR-TD1 - rot. Dentalinstrumente;4057176RotariesX7;DE/CA61/00025331;536865;FG Diam. Royal line;FG diamond coarse;04057176196811;04057176196828;MDN 1208;Klasse lla;Regel 5.4;16670;16-670;Q010199;0297/170765128;5;steel 1.4035, diamond, nickel;ISO adapter, smooth, coarse;806 314 236 534 012;2008-09-23;X
MDR-TD1 - rot. Dentalinstrumente;4057176RotariesX7;DE/CA61/00025331;536875;FG Diam. Royal line;FG diamond coarse;04057176196835;04057176196842;MDN 1208;Klasse lla;Regel 5.4;16670;16-670;Q010199;0297/170765128;5;steel 1.4035, diamond, nickel;ISO adapter, smooth, coarse;806 314 236 534 014;2008-09-23;X
MDR-TD1 - rot. Dentalinstrumente;4057176RotariesX7;DE/CA61/00025331;536885;FG Diam. Royal line;FG diamond coarse;04057176196859;04057176196866;MDN 1208;Klasse lla;Regel 5.4;16670;16-670;Q010199;0297/170765128;5;steel 1.4035, diamond, nickel;ISO adapter, smooth, coarse;806 314 236 534 016;2008-09-23;X
MDR-TD1 - rot. Dentalinstrumente;4057176RotariesX7;DE/CA61/00025331;536888;FG Diam. Royal line;FG diamond medium;04057176202635;04057176202642;MDN 1208;Klasse lla;Regel 5.4;16670;16-670;Q010199;0297/170765128;5;steel 1.4035, diamond, nickel;ISO adapter, smooth, medium;806 314 236 524 016;2010-09-16;X
MDR-TD1 - rot. Dentalinstrumente;4057176RotariesX7;DE/CA61/00025331;536894;FG Diam. Royal line;FG diamond superfine;04057176208613;04057176208620;MDN 1208;Klasse lla;Regel 5.4;16670;16-670;Q010199;0297/170765128;5;steel 1.4035, diamond, nickel;ISO adapter, smooth, superfine;806 314 699 504 008;2015-11-11;X
MDR-TD1 - rot. Dentalinstrumente;4057176RotariesX7;DE/CA61/00025331;536896;FG Diam. Royal line;FG diamond fine;04057176208637;04057176208644;MDN 1208;Klasse lla;Regel 5.4;16670;16-670;Q010199;0297/170765128;5;steel 1.4035, diamond, nickel;ISO adapter, smooth, fine;806 314 699 514 008;2015-11-11;X
MDR-TD1 - rot. Dentalinstrumente;4057176RotariesX7;DE/CA61/00025331;536898;FG Diam. Royal line;FG diamond medium;04057176197597;04057176197603;MDN 1208;Klasse lla;Regel 5.4;16670;16-670;Q010199;0297/170765128;5;steel 1.4035, diamond, nickel;ISO adapter, smooth, medium;806 314 699 524 008;2008-09-24;X
MDR-TD1 - rot. Dentalinstrumente;4057176RotariesX7;DE/CA61/00025331;536906;FG Diam. Royal line;FG diamond fine;04057176196897;04057176196903;MDN 1208;Klasse lla;Regel 5.4;16670;16-670;Q010199;0297/170765128;5;steel 1.4035, diamond, nickel;ISO adapter, smooth, fine;806 314 223 514 012;2008-09-23;X
MDR-TD1 - rot. Dentalinstrumente;4057176RotariesX7;DE/CA61/00025331;536908;FG Diam. Royal line;FG diamond medium;04057176196873;04057176196880;MDN 1208;Klasse lla;Regel 5.4;16670;16-670;Q010199;0297/170765128;5;steel 1.4035, diamond, nickel;ISO adapter, smooth, medium;806 314 223 524 012;2008-09-23;X
MDR-TD1 - rot. Dentalinstrumente;4057176RotariesX7;DE/CA61/00025331;536913;FG Diam. Royal line;FG diamond extracoarse;04057176208491;04057176208507;MDN 1208;Klasse lla;Regel 5.4;16670;16-670;Q010199;0297/170765128;5;steel 1.4035, diamond, nickel;ISO adapter, smooth, extracoarse;806 314 223 544 016;2015-10-06;X
MDR-TD1 - rot. Dentalinstrumente;4057176RotariesX7;DE/CA61/00025331;536916;FG Diam. Royal line;FG diamond fine;04057176196958;04057176196965;MDN 1208;Klasse lla;Regel 5.4;16670;16-670;Q010199;0297/170765128;5;steel 1.4035, diamond, nickel;ISO adapter, smooth, fine;806 314 223 514 016;2008-09-23;X
MDR-TD1 - rot. Dentalinstrumente;4057176RotariesX7;DE/CA61/00025331;536918;FG Diam. Royal line;FG diamond medium;04057176196910;04057176196927;MDN 1208;Klasse lla;Regel 5.4;16670;16-670;Q010199;0297/170765128;5;steel 1.4035, diamond, nickel;ISO adapter, smooth, medium;806 314 223 524 016;2008-09-23;X
MDR-TD1 - rot. Dentalinstrumente;4057176RotariesX7;DE/CA61/00025331;536928;FG Diam. Royal line;FG diamond medium;04057176196934;04057176196941;MDN 1208;Klasse lla;Regel 5.4;16670;16-670;Q010199;0297/170765128;5;steel 1.4035, diamond, nickel;ISO adapter, smooth, medium;806 314 222 524 014;2008-09-23;X
MDR-TD1 - rot. Dentalinstrumente;4057176RotariesX7;DE/CA61/00025331;536933;FG Diam. Royal line;FG diamond extracoarse;04057176197030;04057176197047;MDN 1208;Klasse lla;Regel 5.4;16670;16-670;Q010199;0297/170765128;5;steel 1.4035, diamond, nickel;ISO adapter, smooth, extracoarse;806 314 297 544 012;2008-09-23;X
MDR-TD1 - rot. Dentalinstrumente;4057176RotariesX7;DE/CA61/00025331;536935;FG Diam. Royal line;FG diamond coarse;04057176196996;04057176197009;MDN 1208;Klasse lla;Regel 5.4;16670;16-670;Q010199;0297/170765128;5;steel 1.4035, diamond, nickel;ISO adapter, smooth, coarse;806 314 297 534 012;2008-09-23;X
MDR-TD1 - rot. Dentalinstrumente;4057176RotariesX7;DE/CA61/00025331;536936;FG Diam. Royal line;FG diamond fine;04057176197016;04057176197023;MDN 1208;Klasse lla;Regel 5.4;16670;16-670;Q010199;0297/170765128;5;steel 1.4035, diamond, nickel;ISO adapter, smooth, fine;806 314 297 514 012;2008-09-23;X
MDR-TD1 - rot. Dentalinstrumente;4057176RotariesX7;DE/CA61/00025331;536938;FG Diam. Royal line;FG diamond medium;04057176196972;04057176196989;MDN 1208;Klasse lla;Regel 5.4;16670;16-670;Q010199;0297/170765128;5;steel 1.4035, diamond, nickel;ISO adapter, smooth, medium;806 314 297 524 012;2008-09-23;X
MDR-TD1 - rot. Dentalinstrumente;4057176RotariesX7;DE/CA61/00025331;536943;FG Diam. Royal line;FG diamond extracoarse;04057176197139;04057176197146;MDN 1208;Klasse lla;Regel 5.4;16670;16-670;Q010199;0297/170765128;5;steel 1.4035, diamond, nickel;ISO adapter, smooth, extracoarse;806 314 297 544 014;2008-09-23;X
MDR-TD1 - rot. Dentalinstrumente;4057176RotariesX7;DE/CA61/00025331;536944;FG Diam. Royal line;FG diamond superfine;04057176197115;04057176197122;MDN 1208;Klasse lla;Regel 5.4;16670;16-670;Q010199;0297/170765128;5;steel 1.4035, diamond, nickel;ISO adapter, smooth, superfine;806 314 297 504 014;2008-09-23;X
MDR-TD1 - rot. Dentalinstrumente;4057176RotariesX7;DE/CA61/00025331;536945;FG Diam. Royal line;FG diamond coarse;04057176197078;04057176197085;MDN 1208;Klasse lla;Regel 5.4;16670;16-670;Q010199;0297/170765128;5;steel 1.4035, diamond, nickel;ISO adapter, smooth, coarse;806 314 297 534 014;2008-09-23;X
MDR-TD1 - rot. Dentalinstrumente;4057176RotariesX7;DE/CA61/00025331;536946;FG Diam. Royal line;FG diamond fine;04057176197092;04057176197108;MDN 1208;Klasse lla;Regel 5.4;16670;16-670;Q010199;0297/170765128;5;steel 1.4035, diamond, nickel;ISO adapter, smooth, fine;806 314 297 514 014;2008-09-23;X
MDR-TD1 - rot. Dentalinstrumente;4057176RotariesX7;DE/CA61/00025331;536948;FG Diam. Royal line;FG diamond medium;04057176197054;04057176197061;MDN 1208;Klasse lla;Regel 5.4;16670;16-670;Q010199;0297/170765128;5;steel 1.4035, diamond, nickel;ISO adapter, smooth, medium;806 314 297 524 014;2008-09-23;X
MDR-TD1 - rot. Dentalinstrumente;4057176RotariesX7;DE/CA61/00025331;536955;FG Diam. Royal line;FG diamond coarse;04057176201454;04057176201461;MDN 1208;Klasse lla;Regel 5.4;16670;16-670;Q010199;0297/170765128;5;steel 1.4035, diamond, nickel;ISO adapter, smooth, coarse;806 314 297 534 016;2008-12-22;X
